student_id,form_name,phase_name,academic_year,release_date,evaluator_role,frequency,strengths_comment,improvements_comment,prof_shows_dependability_truthfulness_and_integrity,prof_acknowledges_and_demonstrates_awareness_of_limitations,prof_takes_initiative_for_own_learning_and_patient_care,prof_remains_open_to_feedback_and_attempts_to_implement_it,prof_treats_all_patients_with_respect_and_compassion_protects_patient_confidentiality,comm_listening,comm_decision_making,comm_advocacy,epa1,epa2,epa3,epa5,epa6,epa7,epa9,epa8,epa10,epa4,epa14,comm_other
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Attending,Daily ,"- presentations are concise, organized, well thought out - looks things up prior to rounds; looks into literature and provides visuals for us to better understand - compassionate bed side manners",#NAME?,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Resident,Daily ,"[REDACTED] did [REDACTED] job [REDACTED] rotation. He always came early and had a great attitude and worked hard for his patients. He has a ton of enthusiasm and brought his interest in [REDACTED] team with some awesome teaching points and research articles about diabetes, [REDACTED] inhibitors, and GLP agonists. He has a very caring attitude towards his patients. He did [REDACTED] job with [REDACTED] complex patient, [REDACTED] medically complex patient [REDACTED] who had some developmental disabilities in [REDACTED] Stage D heart failure, uncontrolled diabetes, and chronic respirator failure. He always was wonderful talking [REDACTED] patient [REDACTED][REDACTED] communicated with the patient's mother [REDACTED] a [REDACTED] basis. He was [REDACTED] synthesize the patient's care plan into a concise presentation [REDACTED]. He will make an excellent physician, and I hope that [REDACTED].","In [REDACTED] to progress towards independence, [REDACTED] can continue to hone his history taking skills. When patients have many symptoms on review of systems, he does [REDACTED] job with [REDACTED] symptoms, but for presenting on rounds can try to link those symptoms to objective data to determine what needs to be discussed and what does not. He is at [REDACTED] he should be as an MS3 in [REDACTED] something to work towards to make the next step in [REDACTED].",3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Resident,Daily ,"[REDACTED] was always the first to arrive [REDACTED][REDACTED] was consistently well prepared taking ownership of his patient [REDACTED]. His patient's saw him as their provider and while aware that he was a medical student would ask for him when he had [REDACTED] off. He strives to function at [REDACTED] a sub-intern and worked independently submitting orders, calling consults, and writing clear effective notes. The use of empathy was a strong skill. [REDACTED] had a particular difficult admission where the patient [REDACTED] care. He used empathetic nursing statements and a balanced approach to not only support the patient, [REDACTED] family. [REDACTED] would bring lessons on rounds and be prepared to teach when time allowed. He led discussions on renal failure, non anion gap metabolic acidosis, and shared some of his research related [REDACTED] circadian rhythm [REDACTED][REDACTED].","[REDACTED] is progressing well along the path to becoming a physician. Difficult skills that can further be developed include the reading the attending [REDACTED] presentation by either taking more time sharing research/data or shortening the discussion. For example patients who are stable [REDACTED] not need a long discussion and can have have a focused presentation on their primary and a few additional problems in [REDACTED]. Also it is important to appropriately focus problems from a symptom [REDACTED] ""flank pain"" to a diagnosis like ""pyelonephritis"".",3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Attending,Daily ,"He was curious, asking questions (and trying to answer them) about not only his patients, but other patients [REDACTED] team. He was scholarly, regularly bringing in [REDACTED] share with the team. He was very thorough and responsible.","Overall doing well, especially considering how long he was away from [REDACTED][REDACTED] PhD work. He should try to streamline his [REDACTED] updates a bit, especially later [REDACTED][REDACTED]'s [REDACTED] course.",3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Attending,Daily ,"[REDACTED] is quite intellectual and thoughtful with a kind and gentle bedside manner. His patients love him and he is keenly attuned to their needs. He has consistently followed some of our most complex patients. When faced with a clinical question, he strives to find an evidence-based answer. He [REDACTED] afraid to ask for help when he [REDACTED] do something, and is [REDACTED] take instruction well in [REDACTED] a task or improve in [REDACTED].","[REDACTED] tends to verbally ""show his work"" in a manner that at [REDACTED] superfluous information in [REDACTED]. We’ve been working on not verbally explaining every step of his thought process and being more succinct and decisive in [REDACTED]. [REDACTED] is working on not getting caught up in [REDACTED] not being thrown off by being presented with new information [REDACTED] fly. He is keenly aware of his areas for growth and actively seeks feedback to improve. When given feedback, [REDACTED] does [REDACTED] job of incorporating it into his [REDACTED].",3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Resident,Daily ,"[REDACTED] has a FANTASTIC bedside manner, he consistently is greeted by the patients as their main provider and he does [REDACTED] job eliciting the patients perceptions of our medical and ""dispo"" plans. He is always a step ahead on tasks for [REDACTED] -- ie independently calling consultants, and reaching out to family to give [REDACTED] updates. He is vigilant on blood glucose monitoring and often gently reminds the residents when insulin requires adjustments (Thank you!).","IN [REDACTED] have a strong grasp of all the information and make fantastic differentials, the next step is committing to a specific plan for [REDACTED]!",3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-03-02,Resident,Daily ,"[REDACTED] did [REDACTED] job on his medicine rotation. He is very detail-oriented and his oral presentations and written documentation were consistently comprehensive. He is a scientist and practices evidenced based medicine. He referenced the literature and incorporated post-it pearls on rounds [REDACTED]. The team learned so much from [REDACTED]. He also did [REDACTED] job with [REDACTED]. I am most impressed with [REDACTED]'s communication skills and the way in [REDACTED] with patients and their families. He is a great listener and frequently uses affirming language. As a result, patients trusted [REDACTED] with their care and viewed him as one of their primary providers. He can be trusted to lead very difficult conversations with patients and their families.","Continue to work on shortening your oral presentations to include only the most pertinent information. Otherwise, you are doing [REDACTED] job! Keep up the good work.",3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Resident,Daily ,Takes an excellent focused history and exam. Provides good ideas for next steps in [REDACTED].,Continue to think about next steps beyond [REDACTED] of care,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,3.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Resident,Daily ,- Great team participation - Good rapport with patients - Always looking for ways to help out - Detailed discharge summary and notes - Good use of primary sources to support your treatment plan,"- Continue working on making your presentations concise - Try to spend the most time discussing assessment and plan, take your time discussing your differential and treatment plan",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Attending,Daily ,"Strengths in [REDACTED] presentations, searches of background information. Needs coaching for details of neurologic exam and relevant parts of exam to focus on during rounds. Takes feedback well and can see immediate adjustments.",Did not see much written notes as attending; focused on presentations of new patients for which localization needs more coaching; details are excellent including neuro exam presentations. Coaching on putting together complex cases is improving.,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,,2.0,3.0,2.0,3.0,,,,,
